Sexe	age	Chaussures	sacados	feder	anios_pract	numer_3000	boussole/GPS	Radio/Tel	TrousSecours	id_proc	Origine	Destination
H	18	3	1	1	15	2	1	0	1	CT	Espagne	Aneto
H	23	4	1	1	20	2	0	1	1	PV	Espagne	Aneto
H	28	5	1	0	25	10	1	0	1	FRA	France	Aneto
H	23	3	1	1	20	4	1	1	1	VC	Espagne	Aneto
H	33	3	1	0	30	1	1	1	1	MU	Espagne	Aneto
H	18	3	1	0	15	1	1	1	1	MU	Espagne	Aneto
H	38	3	1	1	35	5	0	0	1	POL	Autre pays	Aneto
H	23	4	1	0	20	2	1	1	1	FRA	France	Aneto
M	23	4	1	0	20	3	1	1	1	FRA	France	Aneto
H	23	4	1	1	20	15	1	1	1	IRL	Autre pays	Aneto
M	18	3	1	1	15	5	1	1	0	NA	Espagne	Aneto
H	33	3	1	0	30	80	1	1	1	FRA	France	Aneto
M	33	3	1	0	30	80	1	1	1	FRA	France	Aneto
H	18	3	1	0	15	3	1	0	0	FRA	France	Aneto
M	18	3	1	0	15	3	1	0	0	FRA	France	Aneto
H	13	3	1	0	10	4	1	1	1	M	Espagne	Aneto
H	23	4	1	1	20	140	1	1	1	CT	Espagne	Aneto
H	18	3	1	1	15	1	1	1	1	FRA	France	Aneto
H	28	3	1	1	24	20	0	1	1	IB	Espagne	Aneto
M	8	3	1	1	4	4	1	1	1	CT	Espagne	Aneto
H	13	4	1	1	8	14	1	0	1	CT	Espagne	Aneto
H	8	3	0	1	3	3	0	1	0	CT	Espagne	Aneto
H	13	3	1	0	8	3	1	1	1	CT	Espagne	Aneto
M	23	3	1	1	18	10	0	0	0	DEU	Autre pays	Aneto
H	13	3	1	0	8	2	1	1	1	M	Espagne	Aneto
M	23	3	1	0	18	5	0	1	1	CT	Espagne	Aneto
H	13	4	1	0	7	2	1	0	1	CT	Espagne	Aneto
H	13	3	1	0	7	6	0	1	0	CT	Espagne	Aneto
H	28	4	1	1	22	7	0	1	1	CT	Espagne	Aneto
H	18	3	1	0	12	3	1	1	0	CT	Espagne	Aneto
H	18	3	1	0	12	3	1	1	0	CT	Espagne	Aneto
H	23	3	1	0	17	3	1	1	0	CT	Espagne	Aneto
M	13	3	1	0	7	2	1	1	1	CT	Espagne	Aneto
M	18	3	1	0	12	2	1	1	1	CT	Espagne	Aneto
H	13	3	1	0	6	1	1	1	1	MU	Espagne	Aneto
H	23	4	1	0	16	7	0	1	1	AR	Espagne	Aneto
H	13	3	1	1	6	20	1	1	1	CT	Espagne	Aneto
H	28	3	1	1	21	70	1	1	1	M	Espagne	Aneto
H	33	4	1	0	25	10	1	0	1	CT	Espagne	Aneto
H	18	4	1	0	10	1	0	0	0	PV	Espagne	Aneto
H	28	3	1	0	20	3	1	0	1	CT	Espagne	Aneto
H	48	3	1	0	40	5	1	0	0	CB	Espagne	Aneto
H	28	3	1	0	20	1	1	1	1	AS	Espagne	Aneto
H	13	3	1	0	5	8	0	1	1	M	Espagne	Aneto
H	18	3	1	0	10	1	0	0	1	CT	Espagne	Aneto
H	28	3	1	1	20	5	0	1	1	IB	Espagne	Aneto
M	13	2	1	1	5	2	0	0	1	VC	Espagne	Aneto
H	18	4	1	0	10	8	1	1	1	CT	Espagne	Aneto
H	38	3	1	1	30	50	1	1	1	M	Espagne	Aneto
M	18	3	1	1	10	9	1	1	1	M	Espagne	Aneto
H	38	4	1	0	30	3	1	1	1	M	Espagne	Aneto
H	18	3	1	1	10	2	1	1	1	VC	Espagne	Aneto
M	28	4	1	1	20	8	0	0	0	PV	Espagne	Aneto
H	28	4	1	0	20	2	0	1	1	CT	Espagne	Aneto
H	53	3	1	0	45	20	1	1	1	CT	Espagne	Aneto
H	28	3	1	0	20	15	1	1	1	CT	Espagne	Aneto
H	13	5	1	0	5	1	1	1	1	FRA	France	Aneto
H	23	4	1	1	15	4	0	1	1	PV	Espagne	Aneto
M	23	4	1	1	15	1	0	1	1	PV	Espagne	Aneto
H	38	5	1	1	30	15	1	1	1	FRA	France	Aneto
H	58	3	1	0	50	30	1	1	1	FRA	France	Aneto
H	58	3	1	1	50	10	1	1	1	FRA	France	Aneto
H	33	4	1	1	25	169	0	1	1	PV	Espagne	Aneto
M	28	3	1	0	20	1	0	1	1	FRA	France	Aneto
H	13		1	1	5	2	1	1	1	AN	Espagne	Aneto
M	23	3	1	1	15	3	0	1	1	CT	Espagne	Aneto
H	48	3	1	0	40	3	0	0	0	FRA	France	Aneto
H	48	3	1	0	40	4	0	0	0	FRA	France	Aneto
M	48	3	1	0	40	6	0	0	0	FRA	France	Aneto
H	28	3	1	1	20	15	0	1	0	CT	Espagne	Aneto
H	23	3	1	1	15	50	1	1	1	PV	Espagne	Aneto
H	13	3	1	0	5	1	1	1	1	PV	Espagne	Aneto
H	38	3	1	1	30	183	1	1	1	CT	Espagne	Aneto
H	18	3	1	1	10	8	1	1	0	NA	Espagne	Aneto
H	38	3	1	1	30	60	0	0	0	DEU	Autre pays	Aneto
H	28	3	1	1	20	500	1	1	1	AR	Espagne	Aneto
M	18	3	1	0	10	3	1	1	0	CT	Espagne	Aneto
H	48	3	1	1	40	30	1	1	1	CT	Espagne	Aneto
M	18	4	1	0	10	15	1	1	1	CT	Espagne	Aneto
H	33	4	1	0	25	6	1	1	1	CT	Espagne	Aneto
H	18	4	1	1	10	1	1	1	1	FRA	France	Aneto
H	13	3	1	0	5	6	1	0	1	FRA	France	Aneto
M	18	3	1	1	10	1	0	1	0	FRA	France	Aneto
H	13	3	1	1	5	1	1	1	1	PV	Espagne	Aneto
H	38	4	1	0	29	500	1	1	1	CT	Espagne	Aneto
H	13	3	1	1	4	3	0	1	1	CT	Espagne	Aneto
H	13	3	1	0	4	1	0	1	1	CT	Espagne	Aneto
H	23	4	1	0	14	7	0	0	1	M	Espagne	Aneto
M	23	3	1	0	14	4	0	0	1	M	Espagne	Aneto
H	18	4	1	1	9	5	1	1	0	PV	Espagne	Aneto
H	18	3	1	0	9	1	1	1	0	CT	Espagne	Aneto
H	18	3	1	0	9	1	1	1	0	CT	Espagne	Aneto
M	13	3	1	0	4	2	1	1	1	CT	Espagne	Aneto
H	28	4	1	1	19	100	1	1	1	CT	Espagne	Aneto
H	13	3	0	0	3	3	0	1	1	CT	Espagne	Aneto
H	13	3	1	0	3	3	0	1	1	CT	Espagne	Aneto
H	18	4	1	0	8	1	1	1	1	FRA	France	Aneto
H	23	4	1	0	13	15	1	1	1	VC	Espagne	Aneto
H	13	5	1	1	3	4	1	1	1	FRA	France	Aneto
H	18	3	1	1	8	3	1	1	0	NA	Espagne	Aneto
H	18	3	1	0	8	3	1	1	0	CT	Espagne	Aneto
H	18	3	1	0	8	3	1	1	0	CT	Espagne	Aneto
H	18	3	1	1	8	4	1	1	0	CT	Espagne	Aneto
H	23	4	1	1	13	57	1	1	1	CT	Espagne	Aneto
H	28	3	1	0	18	6	0	1	1	CT	Espagne	Aneto
M	13	3	1	0	2	2	0	0	0	CT	Espagne	Aneto
H	13	3	0	0	2	2	0	0	1	CT	Espagne	Aneto
H	18	3	1	1	7	25	1	1	1	MU	Espagne	Aneto
M	23	4	1	1	12	4	1	1	1	PV	Espagne	Aneto
H	23	4	1	1	12	6	1	1	1	PV	Espagne	Aneto
H	18	3	1	1	7	20	1	1	1	CT	Espagne	Aneto
H	23	4	1	1	12	40	1	1	1	CT	Espagne	Aneto
H	18	3	1	1	7	6	1	1	1	PV	Espagne	Aneto
H	33	4	1	1	21	8	0	1	1	AR	Espagne	Aneto
H	48	3	1	1	36	100	1	1	1	FRA	France	Aneto
M	18	4	1	0	6	1	1	1	1	CT	Espagne	Aneto
H	38	3	1	1	26	100	0	1	0	CT	Espagne	Aneto
H	13	3	1	0	1	2	1	1	1	AR	Espagne	Aneto
H	38	4	1	1	25	10	1	0	1	CT	Espagne	Aneto
