Sexe;age;Chaussures;sacados;feder;anios_pract;numer_3000;boussole/GPS;Radio/Tel;TrousSecours;id_proc;Origine
H;23;3;1;1;20;10;1;1;1;CT;Espagne
M;23;4;1;0;20;3;1;1;1;CT;Espagne
H;28;4;1;1;25;35;1;1;1;CT;Espagne
H;38;4;1;0;35;30;0;0;0;M;Espagne
H;33;4;1;0;30;10;1;1;1;VC;Espagne
H;28;3;1;1;25;70;1;1;1;CL;Espagne
H;18;3;1;0;15;15;1;1;0;VC;Espagne
H;18;4;1;1;15;8;1;0;0;NA;Espagne
H;33;3;1;0;30;3;0;1;0;PV;Espagne
M;18;3;1;1;15;1;0;1;0;PV;Espagne
H;13;3;1;0;10;6;0;1;1;M;Espagne
H;23;3;1;0;20;3;0;1;0;M;Espagne
H;23;3;1;0;20;3;0;1;0;M;Espagne
H;18;3;1;1;14;10;1;1;0;CT;Espagne
M;8;3;1;0;4;1;1;1;1;CM;Espagne
M;8;3;1;0;4;1;1;1;1;CM;Espagne
H;8;3;0;0;4;7;1;0;0;FRA;France
H;43;4;1;1;39;6;1;0;0;CN;Espagne
H;8;3;1;1;4;1;1;1;1;M;Espagne
H;8;3;1;1;3;2;1;1;1;CT;Espagne
H;18;4;1;1;13;20;1;1;1;CT;Espagne
M;33;3;1;1;28;100;1;1;1;CT;Espagne
H;28;3;1;1;23;50;0;0;1;NA;Espagne
M;13;3;1;0;8;1;1;1;0;CT;Espagne
H;13;3;1;1;8;5;1;1;0;M;Espagne
H;38;4;1;1;33;20;0;1;0;PV;Espagne
H;43;4;1;1;38;130;0;1;1;PV;Espagne
H;13;3;0;0;8;3;1;1;1;CT;Espagne
H;8;4;0;1;2;3;0;1;0;NA;Espagne
M;33;3;1;1;27;30;0;0;1;NA;Espagne
H;18;4;1;1;12;8;1;0;0;NA;Espagne
M;18;3;1;1;12;13;0;0;1;FRA;France
H;23;3;1;0;16;5;1;1;1;CT;Espagne
H;28;4;1;1;21;25;1;1;1;CT;Espagne
H;13;3;1;0;6;2;1;1;1;CL;Espagne
M;13;3;1;0;6;2;1;1;1;M;Espagne
H;28;4;1;0;20;10;1;0;1;CT;Espagne
M;28;3;0;0;20;4;0;0;1;M;Espagne
H;18;3;1;0;10;2;0;1;0;M;Espagne
H;18;4;1;1;10;6;1;1;1;CT;Espagne
M;28;3;1;0;20;5;0;0;0;FRA;France
H;23;3;1;0;15;3;0;1;1;M;Espagne
H;18;3;1;0;10;9;0;1;1;M;Espagne
M;18;3;1;0;10;2;0;1;1;M;Espagne
H;18;3;1;0;10;5;1;1;1;AR;Espagne
H;33;3;1;0;25;12;1;1;1;PV;Espagne
H;33;3;1;1;25;50;1;1;1;CT;Espagne
H;33;3;1;1;25;20;0;0;1;NA;Espagne
H;58;4;1;1;50;5;1;1;1;M;Espagne
H;58;4;0;1;50;5;1;1;1;M;Espagne
H;28;4;1;1;20;6;1;1;1;M;Espagne
