rang annuel;titre;nationalité;sortie;mois;entrées (millions);annee;Type;nouvelle nationalité;Intervalle d'entrées;Nationalité simplifiée;Saison de sortie
1;LES INDESTRUCTIBLES 2;US;04/07/2018;7;5,74;2018;Animation;US;"[5;10[";US;Été
2;LES TUCHE 3;FR;31/01/2018;1;5,69;2018;Comédie;FR;"[5;10[";FR;Hiver
3;CHTITE FAMILLE (LA);FR;28/02/2018;2;5,62;2018;Comédie;FR;"[5;10[";FR;Hiver
4;AVENGERS : INFINITY WAR;US;25/04/2018;4;5,04;2018;Super-héros;US;"[5;10[";US;Printemps
5;GRAND BAIN (LE);FR;24/10/2018;10;4,21;2018;Comédie;FR;"[1;5[";FR;Automne
6;ANIMAUX FANTASTIQUES (LES) : LES CRIMES DE GRINDELWALD;GB;14/11/2018;11;3,86;2018;Fantastique;GB;"[1;5[";GB;Automne
7;BOHEMIAN RHAPSODY;GB;31/10/2018;10;3,72;2018;Biopic/Biographie;GB;"[1;5[";GB;Automne
8;TAXI 5;FR;11/04/2018;4;3,65;2018;Comédie policière;FR;"[1;5[";FR;Printemps
9;JURASSIC WORLD FALLEN KINGDOM;US;06/06/2018;6;3,63;2018;Science-fiction;US;"[1;5[";US;Printemps
10;BLACK PANTHER;US;14/02/2018;2;3,62;2018;Super-héros;US;"[1;5[";US;Hiver
11;HOTEL TRANSYLVANIE 3 : DES VACANCES MONSTRUEUSES;US;25/07/2018;7;3,07;2018;Animation;US;"[1;5[";US;Été
12;MISSION IMPOSSIBLE FALL OUT;US;01/08/2018;8;3,02;2018;Action;US;"[1;5[";US;Été
13;ASTERIX ET LE SECRET DE LA POTION MAGIQUE;FR;05/12/2018;12;2,89;2018;Animation;FR;"[1;5[";FR;Automne
14;LE LABYRINTHE: LE REMEDE MORTEL;US;07/02/2018;2;2,85;2018;Science-fiction;US;"[1;5[";US;Hiver
15;CINQUANTE NUANCES PLUS CLAIRES;US;07/02/2018;2;2,76;2018;Erotique;US;"[1;5[";US;Hiver
16;DEADPOOL 2;US;16/05/2018;5;2,60;2018;Super-héros;US;"[1;5[";US;Printemps
17;TOUT LE MONDE DEBOUT;FR;14/03/2018;3;2,42;2018;Comédie;FR;"[1;5[";FR;Hiver
18;ALAD 2;FR;03/10/2018;10;2,35;2018;Comédie;FR;"[1;5[";FR;Automne
19;VENOM;US;10/10/2018;10;2,28;2018;Super-héros;US;"[1;5[";US;Automne
20;READY PLAYER ONE;GB;28/03/2018;3;2,28;2018;Science-fiction;GB;"[1;5[";GB;Hiver
21;LE GRINCH;US;28/11/2018;11;2,05;2018;Comédie fantastique;US;"[1;5[";US;Automne
22;JUMANJI BIENVENUE DANS LA JUNGLE;US;20/12/2017;12;2,00;2018;Fantastique;US;"[1;5[";US;Automne
23;AQUAMAN;US;19/12/2018;12;1,90;2018;Super-héros;US;"[1;5[";US;Automne
24;A STAR IS BORN;US;03/10/2018;10;1,88;2018;Film musical /Comédie musicale;US;"[1;5[";US;Automne
25;YETI ET COMPAGNIE;US;17/10/2018;10;1,85;2018;Animation;US;"[1;5[";US;Automne
26;ANT-MAN ET LA GUEPE;US;18/07/2018;7;1,80;2018;Super-héros;US;"[1;5[";US;Été
27;PIERRE LAPIN;US;04/04/2018;4;1,74;2018;Comédie;US;"[1;5[";US;Printemps
28;STAR WARS LES DERNIERS JEDI;US;13/12/2017;12;1,73;2018;Science-fiction;US;"[1;5[";US;Automne
29;BELLE ET SEBASTIEN 3, LE DERNIER CHAPITRE;FR;14/02/2018;2;1,68;2018;Aventure;FR;"[1;5[";FR;Hiver
30;EN EAUX TROUBLES;US;22/08/2018;8;1,62;2018;Science-fiction;US;"[1;5[";US;Été
31;JEU (LE);FR;17/10/2018;10;1,59;2018;Comédie dramatique;FR;"[1;5[";FR;Automne
32;FERDINAND;US;20/12/2017;12;1,42;2018;Animation;US;"[1;5[";US;Automne
33;LA NONNE;US;19/09/2018;9;1,39;2018;Horreur;US;"[1;5[";US;Été
34;LA FORME DE L'EAU;US;21/02/2018;2;1,38;2018;Fantastique;US;"[1;5[";US;Hiver
35;SOLO : A STAR WARS STORY;US;23/05/2018;5;1,37;2018;Science-fiction;US;"[1;5[";US;Printemps
36;COCO;US;29/11/2017;11;1,35;2018;Comédie;US;"[1;5[";US;Automne
